E1: 	bien / entonces <ruido_fondo>roce constante con la mesa</ruido_fondo> estamos aquí en / en la maestría / ehh   hoy es cuatro / cinco de<alargamiento/>
E2: 	<simultáneo> cinco </simultáneo> / /
E1: 	cinco de noviembre /
I: 	uhu /
E1: 	del dos mil nueve y vamos a entrevistar a la señora I / / bueno señora I /ehh / comencemos no sé / puede hablar de su familia <risas=”I”/>ehh / qué / cómo <vacilación/> / / qué / qué <vacilación/> 
I: 	seste<alargamiento/> </simultáneo> /
E1: 	cuando / era niña o / actualmente / ¿cómo? / 
I: 	bueno en realidad cuando / e <palabra_cortada/> / era niña todo normal como<alargamiento/> una familia<alargamiento/> normal / bueno y mis padres venezolanos /
E1: 	ajá /
I: 	aunque mi mamá después se fue a vivir a Maracaibo /
E1: 	uhu /
I: 	pero ella es caraqueña / mi papá también y / y ya él está fallecido /
E1: 	bien / /
I: 	y bueno tengo mi familia ahora / tengo un esposo / tengo dos hijos / tengo una nieta / que es preciosa / / y / y bueno / la vida cotidiana de / de una familia pues / todo bien /
E1: 	¿y tiene hermanos? /
I: 	sí tengo hermanos tengo<alargamiento/> ¿como qué? / como nueve / diez hermanos /
E1: 	ah pero tiene bastantes /
I: 	sí <ininteligible/> /
E1: 	¿y cómo fue la relación con sus hermanos cuando? /
I: 	no todo bien / todo normal / después bueno / cada quien como dice / ha hecho su familia / agarro su / su vida / algunos nos comunicamos otros no nos pode <palabra_cortada/> no / no nos hemos comunicado / tenemos tiempo que no nos comunicamos / /ehh  tengo bastantes sobrinos también / /
E1: 	¿y no se reúnen en diciembre? /
I: 	son muy pocas / las veces que nos reunimos en diciembre / /
E1: 	¿pero ellos viven aquí en Caracas / los hermanos no? / / 
I: 	este<alargamiento/> algunos otros no / / tengo una hermana que vive en Italia /  por cierto se fue / se llevó a<alargamiento/> a mi mami para allá /
E1: 	¡ay qué bien! /
I: 	a pasar<alargamiento/> como dicen / las navidades con ella / bueno / más que todo no es navidades sino / / que ella<alargamiento/> / / ¿cómo se llama? / este / está en un tratamiento porque a mamá la tengo enferma / mamá tiene cáncer / / entonces bueno / / ehh   bueno y ella se fue para allá no hace nada / tiene una semana que se fue /
E1: 	¿y se fue solita? /
I: 	sí ella se fue sola / / tengo unos primos que viven en La Guaira / que casi no los conozco /
E1: 	uhu /
I: 	este / tengo otros en Colombia / ay tengo bastantes /
E1: 	<simultáneo> ah pero tiene así<alargamiento/>  </simultáneo> /
I: 	sí están <sic>dispersadas<sic/> mi familia / / y este<alargamiento/> / / ¿qué más? /
