"speaker","previous","segment","following","onset","offset","dur","previousWord","word","followingWord","wordOnset","wordOffset","wordDur","previousText","text","followingText","textOnset","textOffset","textDur","position","wordposition","segments","previous_segs","following_segs","previous_source_segments","previous_phonological_segments","previous_type_segments","previous_manner_segments","previous_place_segments","previous_majorplace_segments","previous_voicing_segments","previous_rounding_segments","segment_source_segments","segment_phonological_segments","segment_type_segments","segment_manner_segments","segment_place_segments","segment_majorplace_segments","segment_voicing_segments","segment_rounding_segments","following_source_segments","following_phonological_segments","following_type_segments","following_manner_segments","following_place_segments","following_majorplace_segments","following_voicing_segments","following_rounding_segments","time","row_index"
"CA1HA_87","","i","a",299.63,300.05,0.420000000000016,"","y","además",299.63,300.05,0.420000000000016,"","Y además el componente técnico de la Universidad de Milán","que es muy reconocida en ingeniería civil ",299.63,303.85265247675,4.22265247675,"both","initial","i","","a","blank","blank","blank","blank","blank","blank","blank","blank","i","i","vowel","high","front","FRONT","voiced","unrounded","a","a","vowel","low","central","CENTRAL","voiced","unrounded",299.84,1
"CA1HA_87","i","a","ð",300.05,300.12,0.0699999999999932,"y","además","el",300.05,300.43,0.379999999999995,"","Y además el componente técnico de la Universidad de Milán","que es muy reconocida en ingeniería civil ",299.63,303.85265247675,4.22265247675,"initial","medial","a","i","D","i","i","vowel","high","front","FRONT","voiced","unrounded","a","a","vowel","low","central","CENTRAL","voiced","unrounded","D","d","consonant","approximant","dental","CORONAL","voiced","NotAp",300.085,2
"CA1HA_87","a","ð","e",300.12,300.2,0.0799999999999841,"y","además","el",300.05,300.43,0.379999999999995,"","Y además el componente técnico de la Universidad de Milán","que es muy reconocida en ingeniería civil ",299.63,303.85265247675,4.22265247675,"medial","medial","D","a","e","a","a","vowel","low","central","CENTRAL","voiced","unrounded","D","d","consonant","approximant","dental","CORONAL","voiced","NotAp","e","e","vowel","mid","front","FRONT","voiced","unrounded",300.16,3
"CA1HA_87","ð","e","m",300.2,300.26,0.0600000000000023,"y","además","el",300.05,300.43,0.379999999999995,"","Y además el componente técnico de la Universidad de Milán","que es muy reconocida en ingeniería civil ",299.63,303.85265247675,4.22265247675,"medial","medial","e","D","m","D","d","consonant","approximant","dental","CORONAL","voiced","NotAp","e","e","vowel","mid","front","FRONT","voiced","unrounded","m","m","consonant","nasal","bilabial","LABIAL","voiced","NotAp",300.23,4
"CA1HA_87","e","m","a",300.26,300.33,0.0699999999999932,"y","además","el",300.05,300.43,0.379999999999995,"","Y además el componente técnico de la Universidad de Milán","que es muy reconocida en ingeniería civil ",299.63,303.85265247675,4.22265247675,"medial","medial","m","e","a","e","e","vowel","mid","front","FRONT","voiced","unrounded","m","m","consonant","nasal","bilabial","LABIAL","voiced","NotAp","a","a","vowel","low","central","CENTRAL","voiced","unrounded",300.295,5
"CA1HA_87","m","a","s",300.33,300.38,0.0500000000000114,"y","además","el",300.05,300.43,0.379999999999995,"","Y además el componente técnico de la Universidad de Milán","que es muy reconocida en ingeniería civil ",299.63,303.85265247675,4.22265247675,"medial","medial","a","m","s","m","m","consonant","nasal","bilabial","LABIAL","voiced","NotAp","a","a","vowel","low","central","CENTRAL","voiced","unrounded","s","s","consonant","fricative","alveolar","CORONAL","unvoiced","NotAp",300.355,6
"CA1HA_87","a","s","e",300.38,300.43,0.0500000000000114,"y","además","el",300.05,300.43,0.379999999999995,"","Y además el componente técnico de la Universidad de Milán","que es muy reconocida en ingeniería civil ",299.63,303.85265247675,4.22265247675,"final","medial","s","a","e","a","a","vowel","low","central","CENTRAL","voiced","unrounded","s","s","consonant","fricative","alveolar","CORONAL","unvoiced","NotAp","e","e","vowel","mid","front","FRONT","voiced","unrounded",300.405,7
"CA1HA_87","s","e","l",300.43,300.46,0.0299999999999727,"además","el","componente",300.43,300.51,0.0799999999999841,"","Y además el componente técnico de la Universidad de Milán","que es muy reconocida en ingeniería civil ",299.63,303.85265247675,4.22265247675,"initial","medial","e","s","l","s","s","consonant","fricative","alveolar","CORONAL","unvoiced","NotAp","e","e","vowel","mid","front","FRONT","voiced","unrounded","l","l","consonant","lateral","alveolar","CORONAL","voiced","NotAp",300.445,8
"CA1HA_87","e","l","k",300.46,300.51,0.0500000000000114,"además","el","componente",300.43,300.51,0.0799999999999841,"","Y además el componente técnico de la Universidad de Milán","que es muy reconocida en ingeniería civil ",299.63,303.85265247675,4.22265247675,"final","medial","l","e","k","e","e","vowel","mid","front","FRONT","voiced","unrounded","l","l","consonant","lateral","alveolar","CORONAL","voiced","NotAp","k","k","consonant","stop","velar","DORSAL","unvoiced","NotAp",300.485,9
"CA1HA_87","l","k","o",300.51,300.55,0.0400000000000205,"el","componente","",300.51,301.1,0.590000000000032,"","Y además el componente técnico de la Universidad de Milán","que es muy reconocida en ingeniería civil ",299.63,303.85265247675,4.22265247675,"initial","medial","k","l","o","l","l","consonant","lateral","alveolar","CORONAL","voiced","NotAp","k","k","consonant","stop","velar","DORSAL","unvoiced","NotAp","o","o","vowel","mid","back","BACK","voiced","rounded",300.53,10
