speaker,time,row_index
CA1HA_87,299.84,1
CA1HA_87,300.085,2
CA1HA_87,300.16,3
CA1HA_87,300.23,4
CA1HA_87,300.295,5
CA1HA_87,300.355,6
CA1HA_87,300.405,7
CA1HA_87,300.445,8
CA1HA_87,300.485,9
CA1HA_87,300.53,10
CA1HA_87,300.57,11
CA1HA_87,300.615,12
CA1HA_87,300.655,13
CA1HA_87,300.705,14
CA1HA_87,300.76,15
CA1HA_87,300.8,16
CA1HA_87,300.85,17
CA1HA_87,300.915,18
CA1HA_87,301.025,19
CA1HA_87,301.155,20
CA1HA_87,301.225,21
CA1HA_87,301.285,22
CA1HA_87,301.38,23
CA1HA_87,301.505,24
CA1HA_87,301.61,25
CA1HA_87,301.755,26
CA1HA_87,302.045,27
CA1HA_87,302.145,28
CA1HA_87,302.215,29
CA1HA_87,302.275,30
CA1HA_87,302.32,31
CA1HA_87,302.36,32
CA1HA_87,302.41,33
CA1HA_87,302.47,34
CA1HA_87,302.52,35
CA1HA_87,302.555,36
CA1HA_87,302.655,37
CA1HA_87,302.755,38
CA1HA_87,302.795,39
CA1HA_87,302.92,40
CA1HA_87,303.025,41
CA1HA_87,303.085,42
CA1HA_87,303.19,43
CA1HA_87,303.28,44
CA1HA_87,303.35,45
CA1HA_87,303.42,46
CA1HA_87,303.525,47
CA1HA_87,303.66,48
CA1HA_87,303.9577,49
CA1HA_87,303.9977,50
CA1HA_87,304.0427,51
CA1HA_87,304.0927,52
CA1HA_87,304.1677,53
CA1HA_87,304.2377,54
CA1HA_87,304.2677,55
CA1HA_87,304.3127,56
CA1HA_87,304.3727,57
CA1HA_87,304.4327,58
CA1HA_87,304.4877,59
CA1HA_87,304.5327,60
CA1HA_87,304.5777,61
CA1HA_87,304.6727,62
CA1HA_87,304.7727,63
CA1HA_87,304.8177,64
CA1HA_87,304.8477,65
CA1HA_87,304.8777,66
CA1HA_87,304.9077,67
CA1HA_87,304.9377,68
CA1HA_87,304.9677,69
CA1HA_87,304.9977,70
CA1HA_87,305.0327,71
CA1HA_87,305.0777,72
CA1HA_87,305.1177,73
CA1HA_87,305.1527,74
CA1HA_87,305.1827,75
CA1HA_87,305.2227,76
CA1HA_87,305.2727,77
CA1HA_87,305.3577,78
CA1HA_87,305.4527,79
CA1HA_87,305.4977,80
CA1HA_87,305.5427,81
CA1HA_87,305.6627,82
CA1HA_87,307.7228,83
CA1HA_87,307.7928,84
CA1HA_87,307.8428,85
CA1HA_87,307.8828,86
CA1HA_87,307.9128,87
CA1HA_87,307.9428,88
CA1HA_87,307.9828,89
CA1HA_87,308.0228,90
CA1HA_87,308.0828,91
CA1HA_87,308.1628,92
CA1HA_87,308.2078,93
CA1HA_87,308.2428,94
CA1HA_87,308.2878,95
CA1HA_87,308.3328,96
CA1HA_87,308.3928,97
CA1HA_87,308.4628,98
CA1HA_87,308.5378,99
CA1HA_87,308.6078,100
CA1HA_87,308.6678,101
CA1HA_87,308.7628,102
CA1HA_87,308.8928,103
CA1HA_87,309.1528,104
CA1HA_87,309.5178,105
CA1HA_87,309.6178,106
CA1HA_87,309.7228,107
CA1HA_87,309.8128,108
CA1HA_87,309.8978,109
CA1HA_87,309.9778,110
CA1HA_87,310.0666,111
CA1HA_87,310.1266,112
CA1HA_87,310.1766,113
CA1HA_87,310.2416,114
CA1HA_87,310.3016,115
CA1HA_87,310.3416,116
CA1HA_87,310.3766,117
CA1HA_87,310.4066,118
CA1HA_87,310.4366,119
CA1HA_87,310.4916,120
CA1HA_87,310.5566,121
CA1HA_87,310.6166,122
CA1HA_87,310.6766,123
CA1HA_87,310.7166,124
CA1HA_87,310.7616,125
CA1HA_87,310.8116,126
CA1HA_87,310.8666,127
CA1HA_87,310.9316,128
CA1HA_87,310.9916,129
CA1HA_87,311.0716,130
CA1HA_87,311.1416,131
CA1HA_87,311.1766,132
CA1HA_87,311.2066,133
CA1HA_87,311.2366,134
CA1HA_87,311.2666,135
CA1HA_87,311.2966,136
CA1HA_87,311.3266,137
CA1HA_87,311.3566,138
CA1HA_87,311.3866,139
CA1HA_87,311.4216,140
CA1HA_87,311.4766,141
CA1HA_87,311.5366,142
CA1HA_87,311.5766,143
CA1HA_87,311.6116,144
CA1HA_87,311.6666,145
CA1HA_87,311.7116,146
CA1HA_87,311.7666,147
CA1HA_87,311.8666,148
