speaker,previous,segment,following,onset,offset,dur,previousWord,word,followingWord,wordOnset,wordOffset,wordDur,previousText,text,followingText,textOnset,textOffset,textDur,position,wordposition,segments,previous_segs,following_segs,segment_original_segments,segment_source_segments,segment_phonological_segments,segment_type_segments,segment_manner_segments,segment_place_segments,segment_majorplace_segments,segment_voicing_segments,segment_rounding_segments,time,row_index
CA1HA_87,,i,a,299.63,300.05,0.4200000000000159,,y,además,299.63,300.05,0.4200000000000159,,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,299.63,303.85265247675,4.2226524767499996,both,initial,i,,a,i,i,i,vowel,high,front,FRONT,voiced,unrounded,299.84000000000003,1
CA1HA_87,i,a,ð,300.05,300.12,0.06999999999999318,y,además,además,300.05,300.43,0.37999999999999545,,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,299.63,303.85265247675,4.2226524767499996,initial,medial,a,i,ð,a,a,a,vowel,low,central,CENTRAL,voiced,unrounded,300.08500000000004,2
CA1HA_87,a,ð,e,300.12,300.2,0.07999999999998408,y,además,además,300.05,300.43,0.37999999999999545,,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,299.63,303.85265247675,4.2226524767499996,medial,medial,ð,a,e,ð,D,d,consonant,approximant,dental,CORONAL,voiced,NotAp,300.15999999999997,3
CA1HA_87,ð,e,m,300.2,300.26,0.060000000000002274,y,además,además,300.05,300.43,0.37999999999999545,,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,299.63,303.85265247675,4.2226524767499996,medial,medial,e,ð,m,e,e,e,vowel,mid,front,FRONT,voiced,unrounded,300.23,4
CA1HA_87,e,m,a,300.26,300.33,0.06999999999999318,y,además,además,300.05,300.43,0.37999999999999545,,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,299.63,303.85265247675,4.2226524767499996,medial,medial,m,e,a,m,m,m,consonant,nasal,bilabial,LABIAL,voiced,NotAp,300.29499999999996,5
CA1HA_87,m,a,s,300.33,300.38,0.05000000000001137,y,además,además,300.05,300.43,0.37999999999999545,,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,299.63,303.85265247675,4.2226524767499996,medial,medial,a,m,s,a,a,a,vowel,low,central,CENTRAL,voiced,unrounded,300.355,6
CA1HA_87,a,s,e,300.38,300.43,0.05000000000001137,y,además,además,300.05,300.43,0.37999999999999545,,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,299.63,303.85265247675,4.2226524767499996,final,medial,s,a,e,s,s,s,consonant,fricative,alveolar,CORONAL,unvoiced,NotAp,300.405,7
CA1HA_87,s,e,l,300.43,300.46,0.029999999999972715,además,el,además,300.43,300.51,0.07999999999998408,,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,299.63,303.85265247675,4.2226524767499996,initial,medial,e,s,l,e,e,e,vowel,mid,front,FRONT,voiced,unrounded,300.445,8
CA1HA_87,e,l,k,300.46,300.51,0.05000000000001137,además,el,además,300.43,300.51,0.07999999999998408,,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,299.63,303.85265247675,4.2226524767499996,final,medial,l,e,k,l,l,l,consonant,lateral,alveolar,CORONAL,voiced,NotAp,300.485,9
CA1HA_87,l,k,o,300.51,300.55,0.040000000000020464,el,componente,además,300.51,301.1,0.5900000000000318,,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,299.63,303.85265247675,4.2226524767499996,initial,medial,k,l,o,k,k,k,consonant,stop,velar,DORSAL,unvoiced,NotAp,300.53,10
