speaker,previous,segment,following,onset,offset,dur,previousWord,word,followingWord,wordOnset,wordOffset,wordDur,previousText,text,followingText,textOnset,textOffset,textDur,position,wordposition,segments,previous_segs,following_segs,segment_original_segments,segment_source_segments,segment_phonological_segments,segment_type_segments,segment_manner_segments,segment_place_segments,segment_majorplace_segments,segment_voicing_segments,segment_rounding_segments,time,row_index,formant_1,formant_2,formant_3,pitchValue,intensityValue,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,duration_ms,segmentid,is_outlier,F1,F2,gender,context,F1_norm,F2_norm,F1_sc,F2_sc
CA1HA_87,,i,a,299.63,300.05,0.4200000000000159,,y,además,299.63,300.05,0.4200000000000159,,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,299.63,303.85265247675,4.22265247675,both,initial,i,,a,i,i,i,vowel,high,front,FRONT,voiced,unrounded,299.84000000000003,1,287.5661444582602,874.9716229542429,2400.693419569784,124.57466048897093,84.04534596086039,0,0,0,0,0,0,0,0,0,0,0,0,420.0000000000159,i,False,287.5661444582602,874.9716229542429,Male,1,-1.1169573772044024,-2.4087169701152717,377.88,1127.627
CA1HA_87,i,a,ð,300.05,300.12,0.0699999999999931,y,además,además,300.05,300.43,0.3799999999999954,,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,299.63,303.85265247675,4.22265247675,initial,medial,a,i,ð,a,a,a,vowel,low,central,CENTRAL,voiced,unrounded,300.08500000000004,2,420.261539123634,1260.6445905713492,2191.9636097434527,--undefined--,77.89238589222788,0,0,0,0,0,0,0,0,0,0,0,0,69.9999999999931,a,False,420.261539123634,1260.6445905713492,Male,2,0.2772217358250473,-0.8175619918320439,478.624,1461.895
CA1HA_87,ð,e,m,300.2,300.26,0.0600000000000022,y,además,además,300.05,300.43,0.3799999999999954,,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,299.63,303.85265247675,4.22265247675,medial,medial,e,ð,m,e,e,e,vowel,mid,front,FRONT,voiced,unrounded,300.23,4,543.2671353243773,1823.585421590188,2590.0012350199736,120.9714083851238,80.67235052874821,0,0,0,0,0,0,0,0,0,0,0,0,60.000000000002196,e,False,543.2671353243773,1823.585421590188,Male,3,1.5695938896686108,1.5049396636217904,572.012,1949.804
CA1HA_87,m,a,s,300.33,300.38,0.0500000000000113,y,además,además,300.05,300.43,0.3799999999999954,,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,299.63,303.85265247675,4.22265247675,medial,medial,a,m,s,a,a,a,vowel,low,central,CENTRAL,voiced,unrounded,300.355,6,333.3372845908595,1626.919275066378,2054.076578486284,120.79956342238111,80.78950700750877,0,0,0,0,0,0,0,0,0,0,0,0,50.0000000000113,a,False,333.3372845908595,1626.919275066378,Male,4,-0.6360577369920534,0.6935622937361986,412.63,1779.351
CA1HA_87,s,e,l,300.43,300.46,0.0299999999999727,además,el,además,300.43,300.51,0.079999999999984,,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,299.63,303.85265247675,4.22265247675,initial,medial,e,s,l,e,e,e,vowel,mid,front,FRONT,voiced,unrounded,300.445,8,516.8924759520811,1706.2541113939133,2169.9658185263297,135.34588559082724,81.87701338030598,0,0,0,0,0,0,0,0,0,0,0,0,29.9999999999727,e,False,516.8924759520811,1706.2541113939133,Male,5,1.2924855597009477,1.0208707399407222,551.988,1848.111
CA1HA_87,k,o,m,300.55,300.59,0.0399999999999636,el,componente,además,300.51,301.1,0.5900000000000318,,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,299.63,303.85265247675,4.22265247675,medial,medial,o,k,m,o,o,o,vowel,mid,back,BACK,voiced,rounded,300.57,11,377.869543254104,1494.6823572584656,2246.5848304288115,--undefined--,72.96820395772745,0,0,0,0,0,0,0,0,0,0,0,0,39.9999999999636,o,False,377.869543254104,1494.6823572584656,Male,6,-0.16817454450533456,0.14799792249464674,446.44,1664.739
CA1HA_87,p,o,n,300.67,300.74,0.0699999999999931,el,componente,además,300.51,301.1,0.5900000000000318,,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,299.63,303.85265247675,4.22265247675,medial,medial,o,p,n,o,o,o,vowel,mid,back,BACK,voiced,rounded,300.70500000000004,14,535.48827851478,1621.8685051240068,2586.5853694335874,142.84368454327802,76.81454118596118,0,0,0,0,0,0,0,0,0,0,0,0,69.9999999999931,o,False,535.48827851478,1621.8685051240068,Male,7,1.4878644542610275,0.6727245415140983,566.106,1774.973
CA1HA_87,n,e,n,300.78,300.82,0.0400000000000204,el,componente,además,300.51,301.1,0.5900000000000318,,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,299.63,303.85265247675,4.22265247675,medial,medial,e,n,n,e,e,e,vowel,mid,front,FRONT,voiced,unrounded,300.79999999999995,16,377.75579681525903,1475.229789978613,2628.8358615506754,125.02785700879168,82.1697524717213,0,0,0,0,0,0,0,0,0,0,0,0,40.0000000000204,e,False,377.75579681525903,1475.229789978613,Male,8,-0.1693696342793166,0.06774327187973592,446.354,1647.879
CA1HA_87,t̪,e,t̪,300.95,301.1,0.1500000000000341,el,componente,además,300.51,301.1,0.5900000000000318,,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,299.63,303.85265247675,4.22265247675,final,medial,e,t̪,t̪,e,e,e,vowel,mid,front,FRONT,voiced,unrounded,301.025,19,349.9078268751204,1212.432500924081,2111.437005338453,163.16726493755309,82.29850320723135,0,0,0,0,0,0,0,0,0,0,0,0,150.0000000000341,e,False,349.9078268751204,1212.432500924081,Male,9,-0.4619574677057953,-1.0164686119399071,425.211,1420.109
CA1HA_87,t̪,e,ɣ,301.17,301.28,0.1099999999999568,componente,técnico,además,301.14,301.83,0.6899999999999977,,Y además el componente técnico de la Universidad de Milán,que es muy reconocida en ingeniería civil,299.63,303.85265247675,4.22265247675,medial,medial,e,t̪,ɣ,e,e,e,vowel,mid,front,FRONT,voiced,unrounded,301.225,21,406.5705603006797,1685.7765951912863,2199.7058630884326,156.27438323843253,81.45191708603723,0,0,0,0,0,0,0,0,0,0,0,0,109.9999999999568,e,False,406.5705603006797,1685.7765951912863,Male,10,0.13337592444609164,0.9363875000341251,468.23,1830.363
