speaker,time,row_index,formant_1,formant_2,formant_3,pitchValue,intensityValue
CA1HA_87,299.84000000000003,1,0,0,0,0,0
CA1HA_87,300.08500000000004,2,0,0,0,0,0
CA1HA_87,300.15999999999997,3,0,0,0,0,0
CA1HA_87,300.23,4,0,0,0,0,0
CA1HA_87,300.29499999999996,5,0,0,0,0,0
CA1HA_87,300.355,6,0,0,0,0,0
CA1HA_87,300.405,7,0,0,0,0,0
CA1HA_87,300.445,8,0,0,0,0,0
CA1HA_87,300.485,9,0,0,0,0,0
CA1HA_87,300.53,10,0,0,0,0,0
CA1HA_87,300.57,11,0,0,0,0,0
CA1HA_87,300.615,12,0,0,0,0,0
CA1HA_87,300.655,13,0,0,0,0,0
CA1HA_87,300.70500000000004,14,0,0,0,0,0
CA1HA_87,300.76,15,0,0,0,0,0
CA1HA_87,300.79999999999995,16,0,0,0,0,0
CA1HA_87,300.85,17,0,0,0,0,0
CA1HA_87,300.91499999999996,18,0,0,0,0,0
CA1HA_87,301.025,19,0,0,0,0,0
CA1HA_87,301.155,20,0,0,0,0,0
CA1HA_87,301.225,21,0,0,0,0,0
CA1HA_87,301.28499999999997,22,0,0,0,0,0
CA1HA_87,301.38,23,0,0,0,0,0
CA1HA_87,301.505,24,0,0,0,0,0
CA1HA_87,301.61,25,0,0,0,0,0
CA1HA_87,301.755,26,0,0,0,0,0
CA1HA_87,302.045,27,0,0,0,0,0
CA1HA_87,302.145,28,0,0,0,0,0
CA1HA_87,302.21500000000003,29,0,0,0,0,0
CA1HA_87,302.275,30,0,0,0,0,0
CA1HA_87,302.32,31,0,0,0,0,0
CA1HA_87,302.36,32,0,0,0,0,0
CA1HA_87,302.40999999999997,33,0,0,0,0,0
CA1HA_87,302.47,34,0,0,0,0,0
CA1HA_87,302.52,35,0,0,0,0,0
CA1HA_87,302.555,36,0,0,0,0,0
CA1HA_87,302.655,37,0,0,0,0,0
CA1HA_87,302.755,38,0,0,0,0,0
CA1HA_87,302.79499999999996,39,0,0,0,0,0
CA1HA_87,302.91999999999996,40,0,0,0,0,0
CA1HA_87,303.025,41,0,0,0,0,0
CA1HA_87,303.085,42,0,0,0,0,0
CA1HA_87,303.19,43,0,0,0,0,0
CA1HA_87,303.28,44,0,0,0,0,0
CA1HA_87,303.35,45,0,0,0,0,0
CA1HA_87,303.41999999999996,46,0,0,0,0,0
